object_names,color,shape,material,has_contents,deformable,height,weight,size
silver_cappuccino_maker,silver,cylindrical,metal,empty,no,short,heavy,large
christmas_red_container,red,cylindrical,metal,empty,no,short,light,large
mac_and_cheese_box,blue,cuboid,paper,filled,yes,tall,heavy,small
yellow_water_bottle,yellow,cylindrical,plastic,filled,no,tall,heavy,large
tin_can,silver,cylindrical,metal,empty ,no,short,light,large
wooden_knife_stand,brown,cuboid,wood,empty,no,tall,heavy,large
dark_blue_sunfounder_box,blue,cuboid,paper,empty,yes,short,light,small
red_tall_cup,red,cylindrical,plastic,empty,no,tall,light,small
wooden_pepper_grinder,brown,cylindrical,wood,empty,no,short,heavy,small
starbucks_doubleshot_hazelnut,brown,cylindrical,metal,empty,yes,tall,light,large
scotch_tape_box,green,cuboid,paper,empty,yes,short,light,small
stainless_steel_cannister,silver,cylindrical,metal,empty,no,short,light,small
wooden_melon_tea_box,brown,cuboid,wood,filled,no,short,heavy,large
green_water_bottle,green,cylindrical,plastic,empty,no,tall,heavy,large
pale_yellow_cup,yellow,cylindrical,plastic,empty,yes,tall,light,large
big_red_pop_can,red,cylindrical,metal,empty,yes,tall,light,large
blue_squish_ball,blue,spherical,plastic,empty,yes,short,light,small
green_tall_cup,green,cylindrical,plastic,empty,no,tall,light,large
excetrine_medicine_box,red,cuboid,paper,filled,yes,short,light,small
yellow_mustard_bottle,yellow,cylindrical,plastic,empty,yes,tall,light,small
wooden_cylindrical_container,brown,cylindrical,wood,empty,no,short,light,small
red_ketchup_bottle,red,cylindrical,plastic,filled,yes,tall,heavy,small
lysol_container,yellow,cylindrical,plastic,empty,yes,tall,light,large
regular_creamcheese_box,grey,cuboid,paper,empty,yes,short,light,small
dark_green_sports_bottle,green,cylindrical,plastic,filled,yes,tall,heavy,large
yellow_squish_ball,yellow,spherical,plastic,empty,yes,short,light,small
red_water_bottle,red,cylindrical,plastic,filled,no,tall,heavy,small
blue_salt_can,blue,cylindrical,paper,filled,no,tall,light,large
tennis_container_split_peas,green,cylindrical,plastic,filled,yes,tall,heavy,large
blue_tall_cup,blue,cylindrical,plastic,empty,no,tall,light,small
tiny_metallic_can,silver,cylindrical,metal,filled,no,short,heavy,large
red_bull_pop_can,blue,cylindrical,metal,empty,yes,tall,light,large
