Context,GeneralAttribute,Label,Objects
look_color,color,tan,"wooden_cylindrical_container"
look_color,color,grey,"regular_creamcheese_box"
look_color,color,blue,"blue_salt_can,red_bull_pop_can,mac_and_cheese_box,dark_blue_sunfounder_box"
look_color,color,wood,"wooden_knife_stand"
look_color,color,teal,"dark_green_sports_bottle"
look_color,color,red,"christmas_red_container,starbucks_doubleshot_hazelnut,red_ketchup_bottle,red_water_bottle,excetrine_medicine_box,red_tall_cup"
look_color,color,yellow,"yellow_water_bottle,pale_yellow_cup,yellow_mustard_bottle,yellow_squish_ball,lysol_container"
look_color,color,silver,"silver_cappuccino_maker,tin_can,tiny_metallic_can"
look_color,color,brown,"wooden_pepper_grinder"
look_color,color,green,"scotch_tape_box,green_tall_cup,green_water_bottle,tennis_container_split_peas"
